Chambres,Surface_m2,Jardin_m2,Prix_euros
4,169,284,424185
5,40,156,197575
3,217,74,422911
5,89,371,358282
5,131,287,375269
2,23,129,105767
3,113,174,275771
3,94,461,334226
3,209,83,407905
5,81,21,232053
4,113,458,395670
3,114,26,245535
6,171,194,451845
5,74,336,301206
2,156,381,392103
4,150,235,353761
6,50,439,313530
6,59,91,235051
2,248,476,558982
4,55,20,167481
5,171,302,441428
1,242,463,518005
4,25,356,237994
2,85,442,296259
6,231,83,508892
5,239,261,544740
4,94,146,269375
1,23,440,174564
1,98,452,311952
3,153,386,400362
3,137,256,330355
2,132,57,260228
4,113,379,349320
4,249,421,572177
6,198,14,421098
6,81,161,311984
6,204,444,552330
3,213,162,423517
4,98,319,330023
4,222,496,549417
1,155,280,340928
3,45,279,223259
5,198,11,397229
3,192,273,440161
5,63,270,278414
1,152,491,387993
2,89,207,233621
4,173,26,343502
1,137,71,245923
4,87,59,229727
6,38,429,311581
2,231,472,533186
2,244,144,424882
1,39,92,105126
2,132,308,315305
5,159,7,337842
2,66,78,161162
4,20,26,127561
4,109,173,295098
4,161,49,338792
4,83,499,362130
5,57,198,257177
3,56,386,258569
6,145,348,442841
1,158,447,391200
4,119,427,381174
2,96,180,230308
4,22,23,97181
2,180,315,393733
6,153,377,444813
6,197,386,543851
6,29,403,286284
2,24,45,88240
4,170,14,332025
6,157,152,401397
5,191,221,444320
2,149,205,326740
2,32,454,226657
4,187,272,433486
2,149,381,368995
2,103,235,274621
6,84,339,347171
4,82,227,263289
6,120,8,298694
6,92,165,297394
4,36,431,262628
1,28,443,203216
6,222,318,548123
5,162,213,430536
5,171,500,510713
2,57,116,162599
5,182,385,479416
2,113,343,310014
1,114,71,204509
4,68,394,278543
4,88,63,240642
4,81,204,257585
5,207,208,465295
1,197,71,338905
5,97,276,333424
5,136,273,382692
1,139,477,371573
1,222,319,456161
1,156,337,351498
1,181,365,404023
4,95,494,354107
3,246,94,444786
3,54,165,196555
1,20,31,46364
3,59,10,153841
3,83,300,273030
1,169,216,334655
3,79,288,256615
5,83,101,263893
2,112,424,352498
2,91,391,296801
1,30,266,148024
4,124,213,323076
1,248,178,433439
4,33,87,155202
2,79,40,160762
1,49,400,195773
6,54,75,231534
5,232,376,569321
3,184,45,340911
4,24,159,166139
6,102,462,421619
3,142,79,298750
3,97,309,286268
1,173,85,302671
3,81,91,222068
5,151,147,373070
6,108,160,335391
3,61,201,215216
1,108,423,300344
5,165,415,465791
2,59,241,204188
6,91,352,370268
3,58,1,158299
1,123,224,263118
2,33,288,180231
2,51,232,197970
4,198,460,505129
5,144,413,454767
3,185,416,478689
1,116,76,243050
4,42,115,179809
5,82,153,271264
4,162,405,452769
6,244,102,524578
5,172,193,427163
5,164,165,403340
3,244,358,532339
5,213,89,458419
4,225,173,458687
5,72,121,244358
3,123,497,409237
3,123,142,274597
6,198,481,554525
4,58,105,205217
2,198,374,453139
2,217,427,484849
5,153,304,416538
6,86,359,344892
1,154,458,398204
5,198,316,489241
6,219,450,601421
4,61,122,208911
4,211,389,511002
4,34,8,130231
4,130,261,350858
4,176,72,366708
6,52,358,330524
6,241,222,544711
3,250,415,556436
2,174,40,313655
4,183,369,476102
1,176,203,330690
6,57,263,288950
1,204,327,415925
1,116,177,252632
1,248,347,491162
3,174,317,393058
6,202,83,451595
1,52,317,196711
4,215,110,429709
5,105,250,326116
1,85,382,248986
3,29,6,113030
6,24,458,302222
3,142,83,289109
1,93,207,216200
6,116,387,409467
5,137,389,444908
1,57,313,204851
3,160,21,296865
2,178,409,432737
4,66,382,279833
3,247,2,438279
6,128,126,366555
1,235,296,478097
4,199,187,441948
1,203,361,426965
6,34,13,161890
1,176,458,407397
2,155,465,383937
4,24,11,126238
4,176,86,368771
6,66,11,231392
2,87,396,303580
3,95,24,210699
1,192,300,399459
5,149,242,391456
1,174,121,313839
1,114,146,242084
3,134,54,275456
1,183,237,362409
2,55,355,228816
2,45,172,167963
4,62,391,283373
6,46,220,254334
5,88,118,269852
1,167,308,374502
1,30,182,117207
3,93,287,278421
6,123,306,391456
2,57,299,225730
5,153,81,374133
4,219,453,531262
2,42,401,212346
6,66,210,280312
4,109,149,289309
3,65,36,176169
3,126,351,345388
1,159,311,341168
6,237,360,584880
5,160,58,354815
4,123,130,312767
2,209,411,481673
6,229,201,529353
6,236,242,545555
3,244,34,459755
1,130,444,339822
1,123,92,238208
4,79,437,316903
3,190,446,468065
6,223,206,510226
5,119,352,400393
3,87,390,310138
4,152,331,401395
4,139,304,383444
3,56,349,249051
4,91,212,275180
3,146,158,312433
2,125,441,374185
3,111,444,361798
3,50,23,163637
4,141,403,421803
4,156,292,407113
1,70,3,121547
1,48,219,146746
2,225,363,484222
1,59,381,211557
3,60,19,162201
4,233,443,578726
1,30,151,107690
1,170,49,299144
2,20,176,115907
6,65,434,344675
2,120,95,240350
3,168,104,321868
4,109,419,368834
2,129,249,309484
1,183,116,339958
4,201,353,495354
4,234,227,507189
1,76,65,143759
2,20,334,174794
1,82,417,283925
6,201,419,550998
4,74,261,287585
5,134,294,409389
5,187,425,505315
3,162,242,368630
1,168,370,375385
1,194,185,351338
3,220,245,458315
3,72,124,217276
3,156,267,352059
4,221,130,440125
6,199,236,488028
1,76,17,130328
4,136,39,290427
3,173,20,320376
1,188,398,418824
4,54,224,220905
6,82,354,341087
4,44,281,239643
6,109,7,296096
3,94,99,216894
6,57,239,249604
1,149,477,397233
3,154,86,304511
1,229,297,454727
5,238,427,569443
2,181,13,328377
6,110,333,410336
2,36,1,96128
2,147,374,371758
6,190,292,489378
3,206,324,474017
5,127,421,422476
1,198,492,474634
4,201,40,387220
1,171,317,375001
4,44,315,235075
1,218,380,450422
6,199,110,451089
5,217,13,420174
4,107,230,321237
3,180,472,462980
1,196,83,342535
1,48,129,124665
4,82,230,274770
3,169,325,405760
3,173,144,350127
6,175,378,500737
6,133,344,420345
6,232,27,478959
6,68,65,237211
6,218,162,482320
6,100,228,349231
5,103,260,339867
3,124,448,374730
6,196,423,541597
3,167,459,458620
3,137,439,392629
2,105,163,243381
5,239,300,550936
6,82,406,360209
1,208,302,431170
4,123,286,348610
1,68,394,232359
5,90,9,243786
4,20,194,156778
5,243,117,519748
3,160,269,396524
4,241,79,470334
3,234,457,552393
1,198,92,348424
1,142,265,307609
4,203,331,486773
4,230,349,520468
6,81,360,354538
5,51,256,261978
6,177,132,421319
5,48,275,248548
6,68,263,288775
3,192,170,413579
4,240,459,572543
1,49,0,91512
5,163,312,441101
5,187,63,402222
1,38,373,196365
6,37,467,311806
5,20,283,203513
3,97,120,228363
4,134,106,307007
1,194,420,427481
4,213,174,448663
5,239,484,616775
5,132,203,355127
1,133,164,264923
3,241,304,512536
2,185,496,462243
1,198,119,352026
2,82,43,181308
6,151,311,448647
2,148,155,318532
3,27,366,230868
6,176,206,451493
2,74,389,290044
6,122,107,327335
2,150,250,360912
3,51,444,265896
2,29,403,201579
2,221,369,481001
2,230,333,482713
1,129,129,253058
1,181,456,422499
1,143,292,330399
3,244,19,426171
6,106,281,369856
5,74,284,311477
2,239,0,394928
2,51,118,159843
3,197,34,371291
2,154,197,352628
1,112,484,328151
5,27,244,221650
4,84,58,207139
2,76,324,246241
1,86,160,200533
4,235,496,595231
5,234,178,492140
4,206,205,458360
1,91,11,159167
6,73,489,360984
6,248,275,576315
4,86,180,280091
3,70,241,226095
4,116,215,317400
2,111,250,271633
2,27,298,165214
6,181,125,443321
3,54,481,282584
1,115,216,271315
2,107,305,303090
6,97,284,347072
5,51,184,226674
6,139,38,330940
2,65,222,194791
2,163,183,342932
6,215,494,590502
1,184,426,417563
4,201,177,419112
2,232,406,510861
6,161,427,484904
6,242,293,568947
3,74,339,275746
4,195,150,392481
5,229,383,543067
1,26,125,119464
5,93,300,324433
4,26,307,185925
4,180,335,436000
4,170,433,489744
5,104,233,318870
4,166,379,454290
6,131,374,429911
5,144,7,313250
4,166,497,485854
6,55,340,280656
3,48,128,155988
4,207,263,464476
5,101,156,284870
2,21,351,170992
4,148,357,417637
2,66,4,141521
6,216,494,605506
3,167,85,337953
1,30,174,127124
3,149,289,369559
4,214,192,452697
2,234,310,498805
2,138,118,275306
5,159,217,407038
2,39,426,233988
5,24,457,281514
6,56,413,316245
1,185,113,341919
4,241,465,571210
5,156,144,385307
1,245,25,400351
2,72,135,196686
2,191,302,405049
1,118,231,272179
2,105,368,318755
6,127,75,334933
6,43,474,318513
1,100,327,277297
5,221,344,535839
5,177,301,439055
1,139,451,354838
5,78,288,298137
5,234,0,466058
6,147,146,397601
5,243,286,563569
3,228,463,543223
4,133,141,330935
2,134,52,245192
3,228,303,492968
5,33,68,174416
6,28,360,259251
1,59,89,137299
5,213,445,569866
6,44,219,257287
4,122,449,406875
5,220,497,554575
1,41,191,154379
6,23,453,288538
6,173,62,390413
6,205,72,447353
4,48,160,185149
5,128,168,352879
4,117,88,278546
2,234,175,436113
2,56,268,202719
5,94,72,273780
4,89,244,288014
1,165,76,276203
6,147,158,392549
6,104,488,413110
5,61,458,307338
2,119,323,330360
2,60,97,163672
6,185,380,510717
5,53,101,206343
4,36,493,295870
2,184,131,386171
4,172,101,372787
2,249,18,408603
2,141,453,385855
3,95,481,351105
2,106,81,199804
1,136,396,346144
5,125,488,438264
5,105,278,354163
4,232,338,541621
2,46,364,219311
1,76,330,248146
4,50,128,213756
3,153,343,392679
4,238,309,533881
4,187,454,479027
2,117,88,227390
3,31,212,161718
4,72,142,226163
1,218,64,355238
1,157,75,277640
5,192,198,443262
3,164,142,359308
3,173,404,435952
5,232,402,545732
4,239,315,534257
3,209,92,400958
1,141,472,364479
1,65,416,243249
2,83,304,244947
3,149,223,353698
4,73,496,364629
5,126,290,357943
5,212,427,540937
4,70,101,208534
6,200,473,557567
2,55,266,212499
5,134,354,412628
3,45,455,272487
2,48,109,145004
3,168,461,437079
1,30,329,152553
2,59,449,270662
5,30,429,275408
2,183,264,406302
2,132,2,241532
2,206,84,362369
6,58,281,286080
2,246,327,512748
3,73,303,267503
1,117,449,338751
4,74,453,316414
2,130,411,346289
5,171,116,389401
2,169,220,373900
5,88,153,270961
3,75,152,222649
5,52,11,185850
4,55,132,209707
1,167,481,431444
5,230,303,551519
5,246,292,550653
1,100,462,287621
4,209,299,476414
2,128,227,300856
5,245,270,544883
1,220,42,382278
3,173,431,448987
1,213,342,448637
3,92,325,297672
4,220,301,496833
2,59,497,258351
1,36,363,182113
6,148,378,487946
5,236,426,569355
4,80,492,329451
1,190,20,330363
5,123,406,413720
1,61,106,145174
3,44,335,240126
1,58,302,189284
6,54,116,234734
1,150,123,291451
1,248,398,532503
6,127,280,382814
4,191,291,466607
1,198,202,381418
6,241,50,498130
5,121,270,362422
3,117,323,318553
3,31,276,198930
1,38,140,111177
4,120,469,389903
4,63,274,265554
5,206,289,503591
1,68,333,222690
3,208,380,496795
4,36,451,283559
1,93,495,321082
4,76,372,300317
6,74,51,256441
4,66,493,329016
3,31,26,131559
2,81,156,207062
5,99,238,316335
5,235,155,492862
3,102,290,301892
4,27,135,165667
1,242,143,430759
4,168,105,366991
3,100,419,342410
5,234,157,495874
4,248,145,486774
5,137,1,296201
1,227,432,499850
5,217,76,453003
5,219,131,449241
2,44,89,143667
2,229,344,505504
6,108,349,379540
2,31,458,227261
5,162,262,416865
3,78,350,288283
5,173,107,379939
3,128,73,273185
3,45,38,148713
2,66,396,270157
4,51,158,208164
1,29,70,81109
2,35,446,210373
2,218,311,452724
4,164,240,393307
1,170,425,395522
5,45,444,301295
6,232,297,553681
6,105,439,410921
5,154,35,353526
2,33,83,110335
1,98,451,288471
2,136,373,348882
3,26,262,183435
2,156,309,373479
2,134,384,360260
5,195,171,456807
5,91,375,347136
5,78,172,289121
6,234,361,587481
3,240,46,408565
5,101,378,382906
1,242,140,417330
6,241,374,583358
4,135,405,409237
1,186,117,316718
1,246,276,464845
5,165,213,426970
4,206,219,460262
4,122,392,388722
6,36,25,174930
4,33,8,116516
3,178,270,415068
5,171,9,368502
4,246,471,599149
6,127,377,425690
3,207,120,396829
2,64,124,197577
2,117,169,270997
3,150,71,304561
6,56,151,247605
3,190,207,408595
5,187,48,405596
5,237,153,503296
2,202,346,455385
4,234,292,520113
6,127,67,329476
2,58,49,148112
4,34,151,182332
4,139,18,292203
5,23,99,156707
1,112,59,209117
1,233,166,420083
3,172,201,372751
5,160,344,434775
4,229,145,471104
6,180,402,516100
1,35,163,117799
4,189,457,494800
1,127,480,346197
1,145,438,372722
1,213,241,403760
6,74,68,273811
5,246,174,517097
6,189,48,393647
2,53,482,263798
4,177,107,376869
5,32,225,226617
5,160,160,390881
5,37,118,182561
5,179,148,410036
6,115,464,434974
5,246,149,492052
3,142,431,415686
4,58,292,246288
5,65,142,254270
4,48,418,281324
3,209,475,522295
3,240,454,567694
4,81,159,254931
1,204,10,335728
2,35,137,131955
1,203,456,465021
1,140,77,247225
6,29,76,182865
1,177,440,437146
5,172,253,425818
6,122,408,426943
6,103,257,352734
3,152,319,380592
1,84,290,238144
3,241,262,505997
4,196,84,389941
2,22,145,117513
6,192,322,493776
4,161,41,341685
4,139,373,402164
5,177,124,403523
2,87,166,226890
4,165,424,451944
4,209,240,474640
2,56,458,251915
2,172,486,457918
4,195,279,450690
2,212,187,397138
4,200,301,467014
4,226,18,419980
5,92,67,254739
1,162,217,330416
4,68,101,223278
3,140,41,280382
6,107,287,359683
1,215,166,381034
1,159,108,286218
1,206,493,458021
5,56,35,187248
4,80,231,281740
5,248,228,532166
4,190,352,476887
5,143,163,351135
5,217,386,559010
6,58,72,246976
3,203,135,410910
5,82,352,348512
6,65,378,334457
2,107,69,228885
3,30,424,244819
5,81,486,369097
1,96,195,206976
2,245,268,495789
2,172,48,307681
6,218,315,537524
2,71,129,188178
3,23,443,233062
5,78,4,219701
5,91,427,370957
1,167,26,271231
6,112,159,335272
1,82,148,195890
2,73,263,246127
1,136,229,313964
3,129,199,317529
5,93,49,262600
2,126,66,268615
1,245,299,470491
6,76,380,354296
3,237,57,440283
3,188,258,433878
1,22,341,143928
5,139,325,396605
1,25,129,96413
2,24,214,143977
1,24,171,118528
3,73,257,251775
1,66,101,147785
5,234,208,517564
6,196,290,504010
4,28,353,245350
1,118,470,339656
5,39,285,240169
5,141,115,350496
6,80,263,320884
3,142,149,301990
5,182,299,462543
5,197,441,526792
5,101,35,256561
5,81,452,367455
2,164,332,377743
2,235,476,539856
3,22,286,177321
1,179,302,380176
5,246,310,566117
6,249,207,542524
1,32,105,101416
6,139,445,484889
1,144,157,267532
3,108,120,257423
5,92,54,265432
5,87,399,353216
4,161,11,331679
6,120,144,319443
1,117,399,321182
1,30,395,175883
2,124,135,269598
4,203,467,524305
2,86,2,192383
2,142,143,301366
2,239,29,406073
6,48,236,247703
6,156,278,438611
3,214,347,493332
3,172,114,351394
2,245,103,433343
4,95,117,251874
1,189,4,310051
6,28,467,309693
4,226,359,540312
5,59,247,252650
6,44,363,300159
6,24,320,250782
3,158,120,332077
1,206,285,418518
1,245,148,435976
5,235,83,482687
5,143,453,439825
6,226,405,573001
2,57,465,279858
3,91,455,330794
3,152,230,360060
6,195,287,509146
4,109,160,296134
2,165,500,442965
6,217,271,535745
2,56,459,240533
2,79,37,164700
2,195,499,486886
6,224,225,537376
3,47,141,173460
3,216,291,462852
2,224,480,511819
4,100,150,283838
1,133,113,251222
6,59,236,279227
1,64,65,141650
4,243,360,523484
6,81,340,363503
2,112,257,277789
3,134,474,405619
1,205,248,384853
5,86,456,361574
5,75,448,359346
4,59,330,248338
2,117,322,323362
1,59,179,159463
2,110,189,266571
1,224,406,484375
4,52,153,208314
4,25,195,167350
5,235,465,588354
2,166,310,367384
6,99,261,351717
5,187,418,522920
2,111,405,309755
5,116,426,394183
6,78,142,277782
3,78,341,281033
3,67,315,263791
3,188,100,370478
3,32,243,177740
1,126,489,366731
3,64,11,165919
6,108,238,358789
4,200,48,395525
4,189,41,385631
1,119,165,241436
3,210,81,391373
3,174,428,456861
3,185,290,408249
5,207,157,458521
2,26,215,140334
5,152,489,460642
2,64,157,173787
3,77,461,312710
3,50,133,185239
5,42,66,176270
5,189,335,496133
2,157,6,277931
4,179,435,492103
2,126,13,226855
5,200,72,421111
6,177,398,508584
5,58,404,306404
6,178,162,445130
1,101,65,168924
5,119,346,406524
1,21,129,98777
4,225,418,541164
2,96,465,317976
6,240,205,532835
2,31,275,175456
1,58,465,256449
6,213,255,514374
2,243,265,495069
5,32,24,146127
3,65,449,281361
1,174,280,383133
2,132,252,319511
1,36,309,180668
1,123,288,282360
6,242,163,522664
6,117,94,320113
3,207,269,442959
5,211,320,519553
1,107,109,205688
2,128,335,320783
4,182,309,447120
1,89,237,211700
1,230,380,461005
3,177,435,457332
5,218,386,525307
4,93,482,371852
6,243,424,597746
6,245,389,581793
2,82,24,167262
4,175,140,385945
6,79,116,278214
2,98,481,333020
5,241,391,568206
2,56,404,252330
6,240,481,633901
3,41,451,244742
3,215,24,387889
3,167,78,331155
6,115,67,314803
3,247,172,480050
4,87,443,342721
5,238,11,466718
2,211,287,431461
2,36,127,139473
6,31,95,206411
3,169,91,357141
3,164,140,326566
1,157,30,262670
5,137,333,385748
4,212,19,379349
2,41,145,146440
1,237,476,514308
1,139,315,325998
6,229,446,602161
2,69,389,272678
6,33,159,217739
4,211,348,530133
1,194,42,326664
1,48,253,186324
5,223,129,449871
4,183,59,385697
1,246,150,432192
4,199,466,498816
2,144,286,346005
3,223,498,540870
1,26,4,66000
5,48,466,321910
2,158,417,387208
4,52,265,247649
6,153,344,452764
2,130,129,287228
1,98,381,279248
4,179,266,423595
3,198,177,410370
2,222,252,449618
1,77,414,253072
5,234,55,462536
6,45,462,313831
4,245,456,579953
2,193,470,477263
2,245,82,430726
3,48,392,259690
3,23,98,122045
5,228,148,472084
6,118,328,401372
5,160,155,379763
1,58,189,161366
1,34,493,231275
5,138,370,406391
