garden,surface,bedrooms,bathrooms
58,55,2,1
48,90,1,1
34,95,2,1
27,93,2,1
40,80,1,1
58,69,2,1
38,73,2,1
42,74,1,1
30,85,2,1
30,70,2,1
43,79,2,1
55,73,1,1
59,93,2,1
43,91,1,1
22,79,2,1
41,71,1,1
21,77,2,1
43,56,1,1
49,84,1,1
57,77,1,1
21,63,1,1
40,59,1,1
52,65,1,1
31,65,2,1
41,80,2,1
44,91,1,1
46,74,1,1
47,62,1,1
35,55,1,1
34,93,2,1
22,58,1,1
56,94,2,1
26,85,2,1
40,92,1,1
28,69,1,1
58,67,2,1
37,92,2,1
23,70,1,1
44,53,1,1
33,99,1,1
28,82,2,1
45,76,2,1
21,56,1,1
39,55,2,1
47,64,2,1
26,67,1,1
27,81,1,1
54,60,2,1
33,69,2,1
36,73,1,1
55,64,1,1
59,97,1,1
23,56,1,1
21,70,1,1
25,91,2,1
23,75,2,1
48,93,2,1
37,63,2,1
45,86,1,1
53,70,1,1
29,67,1,1
55,54,2,1
33,52,2,1
50,72,2,1
34,75,1,1
27,86,2,1
33,73,1,1
42,98,1,1
59,68,1,1
40,74,1,1
35,70,1,1
37,61,1,1
43,90,2,1
45,82,1,1
44,99,1,1
48,53,2,1
34,91,1,1
20,56,2,1
44,71,2,1
26,82,2,1
28,66,1,1
43,73,1,1
20,83,2,1
27,77,1,1
43,92,1,1
30,90,2,1
36,88,2,1
27,71,1,1
54,98,2,1
54,66,2,1
52,83,2,1
24,55,1,1
58,95,1,1
47,55,1,1
26,83,2,1
28,50,1,1
27,59,2,1
31,70,1,1
53,54,1,1
52,51,2,1
42,71,1,1
43,97,2,1
56,51,1,1
54,59,1,1
59,83,2,1
41,65,2,1
46,97,2,1
54,88,1,1
20,71,1,1
54,61,1,1
56,73,2,1
33,96,2,1
22,89,2,1
20,87,1,1
24,59,1,1
45,84,2,1
33,98,1,1
58,81,2,1
46,56,1,1
28,70,1,1
34,69,2,1
34,75,1,1
45,53,1,1
32,95,2,1
51,71,2,1
58,64,1,1
51,89,2,1
23,70,1,1
49,64,2,1
56,71,1,1
42,77,1,1
58,63,2,1
34,76,1,1
48,90,1,1
55,89,2,1
32,77,2,1
51,75,1,1
26,98,2,1
41,51,2,1
47,74,1,1
21,52,1,1
25,57,2,1
47,93,2,1
47,82,2,1
39,91,1,1
49,84,1,1
30,55,1,1
47,88,1,1
44,72,1,1
58,74,1,1
52,99,1,1
20,92,2,1
46,68,2,1
32,54,1,1
22,60,1,1
58,61,1,1
25,59,2,1
27,57,1,1
46,73,2,1
28,77,2,1
56,90,2,1
52,85,2,1
43,86,2,1
34,70,1,1
51,57,1,1
51,58,2,1
43,96,1,1
31,64,2,1
58,97,2,1
21,95,1,1
22,89,1,1
56,67,1,1
36,91,1,1
21,69,1,1
21,55,2,1
47,61,1,1
42,51,1,1
56,56,1,1
51,65,2,1
52,52,1,1
20,94,2,1
38,52,1,1
21,76,1,1
45,99,2,1
51,92,1,1
25,89,1,1
51,87,2,1
23,82,1,1
30,77,2,1
36,50,2,1
57,57,2,1
43,86,2,1
24,81,2,1
53,97,1,1
25,92,1,1
41,86,1,1
30,53,2,1
35,79,2,1
52,55,2,1
28,95,2,1
25,68,1,1
35,81,1,1
48,58,2,1
22,61,2,1
39,60,1,1
55,95,2,1
38,65,2,1
45,50,2,1
22,94,1,1
38,70,1,1
39,79,2,1
51,62,1,1
26,83,2,1
52,53,2,1
59,77,1,1
58,87,2,1
37,80,2,1
59,76,1,1
20,54,2,1
30,74,2,1
47,52,2,1
44,82,1,1
42,53,2,1
50,74,1,1
49,69,2,1
54,83,2,1
26,75,2,1
35,54,2,1
45,84,1,1
21,77,1,1
20,78,2,1
31,58,2,1
24,87,2,1
56,99,2,1
51,55,2,1
28,68,2,1
54,93,2,1
38,60,2,1
35,51,1,1
22,96,1,1
39,93,1,1
43,93,2,1
52,58,2,1
43,70,2,1
30,73,1,1
27,83,2,1
55,71,1,1
57,52,2,1
59,61,1,1
39,77,1,1
54,79,1,1
44,75,2,1
54,97,1,1
44,70,2,1
48,77,2,1
37,75,2,1
37,82,2,1
21,70,2,1
54,84,1,1
35,83,2,1
55,90,2,1
52,96,2,1
23,67,2,1
52,60,2,1
33,72,1,1
40,97,1,1
39,71,2,1
27,66,1,1
26,54,1,1
22,93,2,1
36,60,1,1
52,79,2,1
31,64,1,1
41,76,1,1
41,84,1,1
49,82,2,1
57,69,1,1
57,65,1,1
27,83,2,1
46,51,2,1
46,84,1,1
53,89,2,1
40,77,1,1
49,96,1,1
52,88,2,1
47,55,2,1
52,58,2,1
24,69,1,1
38,50,2,1
23,57,1,1
54,72,2,1
36,52,1,1
47,53,2,1
49,74,1,1
48,96,2,1
25,87,1,1
54,64,2,1
56,70,2,1
43,84,1,1
48,95,2,1
50,63,1,1
54,85,1,1
52,61,2,1
40,66,1,1
51,88,2,1
42,58,2,1
52,84,1,1
22,62,2,1
37,64,1,1
44,67,1,1
50,82,2,1
22,55,2,1
59,76,1,1
43,72,1,1
51,76,2,1
41,83,2,1
42,95,2,1
21,87,2,1
46,63,1,1
21,85,2,1
45,57,1,1
36,84,1,1
59,68,2,1
52,79,1,1
28,63,2,1
58,69,1,1
48,98,2,1
45,74,1,1
54,89,1,1
44,73,2,1
43,63,2,1
32,75,1,1
26,87,1,1
55,72,2,1
39,71,1,1
20,97,2,1
27,68,1,1
35,95,2,1
33,52,1,1
31,91,2,1
42,68,2,1
34,58,1,1
47,77,2,1
53,69,1,1
21,94,2,1
51,56,2,1
42,63,2,1
41,58,1,1
44,68,2,1
41,96,1,1
41,63,2,1
25,87,1,1
34,85,1,1
56,89,1,1
52,66,2,1
27,79,1,1
24,58,2,1
58,82,1,1
23,74,1,1
25,63,1,1
51,60,1,1
49,84,2,1
54,90,1,1
59,63,1,1
35,79,2,1
32,90,1,1
49,53,1,1
38,53,1,1
36,77,1,1
38,57,2,1
47,51,2,1
45,90,1,1
56,95,2,1
45,71,2,1
42,90,1,1
28,65,2,1
31,78,1,1
20,98,2,1
20,97,2,1
53,79,2,1
51,61,1,1
44,84,2,1
59,60,1,1
20,95,1,1
35,99,2,1
58,70,1,1
24,70,2,1
41,54,1,1
48,97,1,1
22,69,2,1
31,86,2,1
45,52,2,1
35,93,2,1
56,82,1,1
41,58,1,1
48,58,1,1
33,53,2,1
47,84,1,1
24,66,2,1
49,83,1,1
24,73,2,1
31,81,1,1
35,50,1,1
45,57,2,1
45,94,1,1
40,72,2,1
58,96,1,1
55,89,1,1
52,61,2,1
49,61,2,1
56,95,1,1
42,96,1,1
29,64,1,1
24,90,1,1
55,68,1,1
53,75,1,1
50,78,2,1
29,71,2,1
38,89,2,1
51,70,1,1
20,87,1,1
24,69,1,1
23,78,2,1
35,53,2,1
43,56,1,1
35,77,1,1
21,77,2,1
47,53,2,1
51,71,2,1
46,61,1,1
39,94,1,1
43,52,1,1
31,71,2,1
54,93,2,1
52,51,1,1
52,73,1,1
56,83,2,1
31,76,1,1
22,90,2,1
20,50,2,1
52,57,1,1
59,72,2,1
29,87,1,1
48,55,2,1
32,71,2,1
31,74,1,1
50,67,2,1
21,66,1,1
54,61,1,1
42,55,2,1
36,75,1,1
45,76,1,1
27,57,1,1
48,68,1,1
45,91,1,1
29,50,1,1
45,78,2,1
53,94,1,1
26,98,2,1
23,84,2,1
30,89,1,1
48,63,2,1
55,84,2,1
44,97,1,1
40,94,1,1
55,69,1,1
29,98,2,1
56,62,2,1
28,87,1,1
43,98,1,1
54,95,2,1
54,98,2,1
55,57,2,1
37,92,2,1
58,69,1,1
51,82,2,1
43,75,2,1
42,88,2,1
51,70,2,1
56,98,1,1
31,91,1,1
32,92,2,1
42,90,2,1
44,58,1,1
54,73,1,1
49,86,2,1
36,98,2,1
39,90,1,1
44,66,1,1
41,73,1,1
32,70,1,1
38,88,1,1
55,90,1,1
31,88,2,1
38,62,1,1
31,60,1,1
28,95,1,1
26,68,1,1
47,60,2,1
33,62,2,1
50,95,1,1
38,94,2,1
35,50,2,1
24,89,2,1
54,93,2,1
31,68,2,1
44,61,2,1
40,57,1,1
55,57,1,1
42,94,1,1
35,61,1,1
58,97,1,1
58,82,2,1
33,94,1,1
50,75,1,1
24,88,2,1
54,77,2,1
42,54,1,1
48,57,2,1
30,74,2,1
37,76,2,1
31,95,2,1
28,72,1,1
29,79,2,1
36,94,1,1
57,96,1,1
26,72,2,1
32,98,2,1
59,96,2,1
28,69,1,1
46,67,2,1
21,67,2,1
24,51,2,1
48,53,2,1
56,79,2,1
57,82,1,1
38,85,2,1
27,67,2,1
20,86,2,1
41,68,1,1
36,96,2,1
26,77,1,1
44,89,1,1
23,69,2,1
55,98,2,1
25,82,2,1
50,61,1,1
38,64,1,1
58,90,1,1
46,88,1,1
29,51,1,1
45,78,1,1
38,90,2,1
58,59,2,1
22,51,1,1
32,60,2,1
47,62,2,1
39,59,1,1
47,63,1,1
27,67,2,1
58,58,1,1
20,88,1,1
22,77,2,1
32,52,1,1
47,69,2,1
44,55,2,1
52,76,2,1
57,51,2,1
25,78,2,1
51,87,1,1
40,52,1,1
35,65,1,1
40,79,1,1
30,89,2,1
56,51,2,1
55,66,1,1
54,90,2,1
38,61,1,1
39,84,1,1
37,92,1,1
33,50,2,1
34,94,2,1
50,64,2,1
20,75,2,1
22,86,1,1
35,70,2,1
42,98,2,1
30,80,2,1
31,74,1,1
29,72,1,1
51,73,2,1
35,87,2,1
27,77,2,1
57,70,2,1
31,92,1,1
43,67,2,1
47,85,2,1
27,84,2,1
47,94,1,1
55,58,1,1
45,87,2,1
27,79,2,1
47,93,2,1
47,83,2,1
56,81,2,1
55,52,1,1
46,52,1,1
36,77,1,1
28,93,2,1
52,64,1,1
39,90,1,1
32,72,1,1
47,89,2,1
48,60,2,1
32,97,1,1
54,81,2,1
25,85,1,1
37,82,1,1
24,73,1,1
44,88,1,1
21,83,2,1
29,77,2,1
49,86,2,1
24,56,2,1
52,53,1,1
20,86,2,1
37,50,1,1
51,50,2,1
30,96,2,1
40,69,2,1
45,68,1,1
44,78,1,1
41,59,1,1
46,67,1,1
32,77,2,1
52,84,1,1
53,92,1,1
54,96,2,1
20,80,2,1
40,76,1,1
25,60,2,1
47,98,1,1
36,98,2,1
24,87,1,1
50,54,1,1
24,57,1,1
57,83,1,1
22,97,1,1
42,61,2,1
56,87,1,1
56,50,1,1
29,80,1,1
29,53,1,1
38,98,1,1
36,94,2,1
40,99,2,1
33,54,1,1
28,79,2,1
20,73,1,1
32,52,2,1
23,60,2,1
20,94,1,1
59,53,2,1
51,75,2,1
53,76,1,1
47,95,1,1
50,92,2,1
27,76,2,1
58,91,2,1
45,99,1,1
53,55,2,1
22,64,2,1
31,79,2,1
20,91,1,1
24,86,1,1
49,86,1,1
49,91,1,1
36,86,2,1
42,84,1,1
34,72,2,1
56,55,2,1
40,53,2,1
33,67,2,1
21,58,1,1
30,98,1,1
58,78,1,1
57,62,1,1
53,96,1,1
57,66,2,1
53,94,1,1
37,81,1,1
49,97,1,1
34,71,1,1
46,53,2,1
53,54,2,1
57,86,2,1
52,90,2,1
43,98,2,1
34,62,1,1
49,83,2,1
36,94,2,1
24,71,2,1
48,72,1,1
23,52,1,1
29,91,2,1
36,83,1,1
29,81,1,1
36,94,2,1
39,98,1,1
43,70,1,1
24,95,1,1
53,93,2,1
25,70,2,1
21,93,2,1
32,60,1,1
30,88,2,1
42,53,1,1
35,50,1,1
50,77,1,1
30,73,2,1
35,84,2,1
27,62,2,1
23,96,2,1
59,83,1,1
23,60,2,1
44,85,1,1
22,66,2,1
51,84,2,1
22,67,2,1
46,89,1,1
48,71,1,1
51,73,1,1
38,68,1,1
40,86,1,1
24,88,2,1
37,70,1,1
47,57,1,1
41,77,1,1
40,54,1,1
25,66,2,1
20,86,1,1
24,85,2,1
31,68,2,1
45,76,2,1
53,83,1,1
33,60,2,1
45,94,1,1
46,96,1,1
28,61,1,1
45,70,1,1
41,60,1,1
49,88,2,1
36,77,2,1
45,54,1,1
55,66,2,1
20,69,1,1
27,90,2,1
54,95,2,1
34,61,2,1
41,55,2,1
33,66,2,1
45,68,1,1
47,75,1,1
42,97,2,1
33,93,1,1
43,93,2,1
21,81,1,1
45,55,2,1
33,85,2,1
26,87,2,1
22,60,1,1
42,82,1,1
37,73,2,1
57,72,2,1
54,64,1,1
34,76,1,1
44,60,1,1
56,99,1,1
47,66,1,1
29,63,2,1
58,76,1,1
36,67,2,1
58,77,2,1
41,96,1,1
45,96,1,1
44,53,2,1
36,56,1,1
32,94,2,1
39,84,1,1
44,97,1,1
23,58,1,1
29,57,2,1
22,94,1,1
37,66,2,1
55,66,1,1
41,98,2,1
53,82,1,1
27,81,2,1
59,57,2,1
38,68,2,1
56,87,2,1
25,52,2,1
45,54,2,1
53,62,1,1
25,96,2,1
56,95,2,1
52,80,2,1
41,65,1,1
40,99,1,1
25,81,1,1
25,71,2,1
23,78,1,1
49,71,1,1
30,92,2,1
49,52,2,1
50,59,1,1
43,91,2,1
28,70,2,1
22,65,2,1
50,61,2,1
59,51,1,1
56,90,2,1
55,73,1,1
43,84,1,1
50,79,1,1
25,79,1,1
21,96,2,1
39,84,2,1
47,68,2,1
30,99,1,1
23,57,1,1
34,75,1,1
25,98,2,1
49,89,1,1
57,56,2,1
21,79,2,1
34,56,2,1
30,52,2,1
27,50,1,1
45,85,2,1
24,74,1,1
25,86,2,1
45,50,1,1
23,64,1,1
38,86,2,1
39,62,2,1
52,89,2,1
39,57,1,1
31,54,2,1
20,58,2,1
45,50,1,1
33,85,2,1
57,84,1,1
56,51,2,1
30,89,1,1
55,72,1,1
32,58,2,1
22,83,1,1
52,95,2,1
25,63,2,1
29,53,1,1
24,79,2,1
