Surface_m2,Jardin_m2
377,428
367,351
217,491
360,425
342,214
354,436
268,202
320,273
292,281
331,470
256,234
212,287
307,457
214,248
352,280
325,327
299,491
390,400
236,450
278,427
267,232
309,436
232,417
367,265
339,286
212,466
267,256
288,346
266,239
202,490
228,322
296,257
368,428
381,410
351,408
280,205
388,278
259,341
306,355
276,437
344,328
304,436
205,497
385,384
310,246
262,217
310,242
312,491
209,268
250,256
366,360
375,262
396,495
341,273
357,225
305,315
252,332
398,366
270,271
295,271
381,325
306,403
290,414
385,260
300,487
241,387
301,281
216,279
377,405
223,431
201,318
307,324
360,262
254,288
255,365
310,373
332,324
296,492
274,314
288,239
373,259
296,415
356,339
363,347
268,374
367,363
248,401
397,328
374,294
229,233
287,483
291,316
350,440
399,370
275,296
335,277
204,432
298,203
383,303
290,236
230,498
267,372
385,359
245,424
248,326
368,397
227,435
360,497
393,482
206,254
371,291
282,493
345,461
267,413
324,310
339,238
300,478
241,466
265,312
273,497
223,461
253,325
375,306
328,228
296,363
226,476
205,325
398,301
348,399
233,422
374,360
291,464
296,457
321,334
301,271
349,405
208,256
245,219
326,316
379,459
222,455
258,328
376,357
222,387
368,473
348,483
247,447
274,259
380,318
264,392
395,375
326,453
366,251
391,344
354,307
257,330
206,450
335,465
229,493
297,434
264,223
369,343
314,310
272,372
267,319
264,352
365,460
318,441
377,458
363,279
262,230
230,426
246,427
363,280
314,388
244,355
221,461
210,200
218,491
333,292
281,393
355,404
229,452
371,227
348,312
280,266
337,480
206,319
336,219
294,440
235,410
340,238
383,466
209,224
307,410
346,419
316,447
355,279
254,359
360,234
300,407
263,481
222,359
318,331
373,413
250,391
268,223
213,296
236,396
263,277
325,312
304,353
254,408
307,324
394,487
357,456
261,201
217,428
253,280
264,265
270,233
370,349
219,402
204,217
396,287
393,203
310,424
387,469
256,314
304,411
304,313
237,206
214,244
385,450
225,342
341,351
384,359
356,287
349,312
275,211
207,442
276,236
273,396
284,388
361,492
341,337
286,328
312,300
352,387
341,267
274,378
362,442
371,344
370,330
305,390
340,334
218,399
396,258
393,473
386,252
261,430
397,451
299,243
352,245
292,210
319,461
253,351
378,329
321,285
200,358
367,327
352,431
208,469
242,477
385,290
320,284
302,333
341,323
251,403
377,289
262,471
227,289
238,425
372,303
349,359
387,495
386,384
218,449
280,359
222,389
371,478
380,390
253,361
289,411
348,246
389,289
234,406
390,228
205,284
371,403
221,280
388,409
304,437
283,284
313,381
392,306
226,330
339,396
262,256
323,270
228,361
252,385
357,201
228,411
369,340
354,489
325,205
392,491
238,259
268,382
264,318
306,263
368,413
257,222
315,259
380,461
235,265
263,282
332,222
286,493
332,289
384,285
272,300
201,397
380,424
289,250
342,437
318,344
239,344
322,379
270,288
263,284
327,283
316,319
203,344
212,392
275,385
342,299
237,410
382,490
392,405
331,379
212,284
277,384
366,310
209,487
306,347
392,351
286,375
315,214
278,240
317,328
270,358
327,319
228,319
303,370
295,249
220,465
340,486
300,466
298,316
279,252
331,328
346,417
308,387
234,341
255,286
331,312
385,231
290,282
321,203
275,281
325,376
245,454
265,441
370,321
330,284
344,401
359,487
212,365
269,244
306,282
372,499
292,417
213,402
383,411
297,367
361,223
299,426
310,466
247,482
233,387
241,389
343,491
259,350
222,257
226,339
272,308
367,434
221,452
233,304
293,205
245,246
232,498
288,426
329,239
338,304
203,477
390,227
293,208
206,287
259,411
270,361
278,411
277,300
242,441
259,492
296,391
320,321
374,364
304,486
290,490
252,295
249,467
317,497
335,346
351,305
353,322
269,209
269,220
369,240
320,271
269,321
261,378
223,335
394,218
358,270
232,348
270,202
266,370
240,256
256,407
338,490
271,271
340,462
356,485
302,479
333,297
360,366
308,346
367,359
337,410
208,474
369,286
230,387
240,234
388,244
258,327
225,490
293,384
230,475
365,210
306,438
306,249
285,428
272,382
271,455
295,336
310,400
385,323
330,489
340,246
248,305
393,214
229,400
384,445
390,317
361,367
332,326
225,369
255,409
356,267
325,283
388,395
394,403
353,285
365,256
387,392
379,307
278,388
225,401
337,451
256,278
367,202
259,357
352,257
229,313
384,313
376,433
299,273
295,475
205,226
250,308
385,206
381,352
221,349
218,353
276,308
355,351
286,391
229,306
234,256
266,443
365,429
333,217
287,472
290,311
316,375
229,404
213,456
239,370
370,427
327,422
389,440
221,230
323,494
240,284
297,218
332,281
392,477
312,492
244,309
368,203
309,465
265,400
365,449
319,452
258,287
316,243
202,470
369,289
365,302
281,485
328,372
327,415
346,338
282,335
303,212
290,405
290,277
344,415
375,226
210,279
295,363
364,219
216,218
360,491
267,212
203,317
258,377
372,223
222,449
273,414
284,386
363,235
207,307
357,202
311,262
256,338
348,389
332,352
331,468
385,479
382,251
306,362
328,208
259,471
339,472
338,203
364,445
380,496
331,381
270,462
325,490
284,467
308,427
205,425
388,322
319,448
381,499
265,480
318,376
261,203
306,268
245,226
281,405
344,382
349,491
314,245
203,395
242,289
277,300
221,323
216,256
331,407
336,292
342,226
231,279
353,486
241,474
329,472
397,433
383,227
307,415
218,424
222,482
320,214
368,390
